sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
500205025,YouBike2.0_明德高中,15,5,三峽區,2.02112E+13,24.90742,121.36472,中正路二段399號(西北側),Sanxia Dist,YouBike2.0_Mingde High School,"No. 399, Sec. 2, Zhongzheng Rd.(Northwest)",10,1
500229013,YouBike2.0_行政院新莊聯合辦公大樓,12,1,新莊區,2.02112E+13,25.05595,121.44443,榮華路二段/中平路口(西北側),Xinzhuang Dist,"YouBike2.0_Xinzhuang Joint Office Tower, Executive Yuan","Zhongping Rd./ Sec. 2, Ronghua Rd. intersection",11,1
500229014,YouBike2.0_中信國小,18,4,新莊區,2.02112E+13,25.05572,121.44954,榮華路二段/中富街口(西北側),Xinzhuang Dist,YouBike2.0_Zhongxin Elementary School,"Sec. 2, Ronghua Rd./Zhongfu St., Xinzhuang Dist.",14,1
500234018,YouBike2.0_二橋虹橋公園,10,5,鶯歌區,2.02112E+13,24.93453,121.32595,中正三路400號(對面),Yingge Dist,YouBike2.0_Erqiaoshiguanghongqiao Park,"No. 400, Zhongzheng 3rd Rd.(Opposite)",5,1
500229016,YouBike2.0_新莊文化藝術中心,12,3,新莊區,2.02112E+13,25.04714,121.4445,中平路 133 號前,Xinzhuang Dist,YouBike2.0_Xinzhuang Culture and Arts Center,"No.133, Zhongping Rd.",9,1
500206043,YouBike2.0_清水高中,5,2,土城區,2.02112E+13,24.982,121.46547,明德路一段72號前(公車站清水高中站旁),Tucheng Dist,YouBike2.0_Qing Shui Senior High School,"No.72, Sec. 1, Mingde Rd.",3,1
500207054,YouBike2.0_秀山國小,7,2,中和區,2.02112E+13,24.99612,121.52192,更生街19號對面(南側),Zhonghe Dist,YouBike2.0_Xiushan Elementary School,Gengsheng St./Zili Rd.,5,1
500206020,YouBike2.0_土城國中,14,5,土城區,2.02112E+13,24.96243,121.43037,永寧路18號(對面),Tucheng Dist,YouBike2.0_Tucheng Junior High School,"No.18, Yongning Rd., Tucheng Dist.",9,1
500206023,YouBike2.0_頂埔國小,17,1,土城區,2.02112E+13,24.95636,121.4144,中央路四段205號(頂埔國小校門口)(鄰近土城親子分館),Tucheng Dist,YouBike2.0_Dingpu Elementary School,"No.205, Sec. 4, Zhongyang Rd.",16,1
500206024,YouBike2.0_頂新祖田市民活動中心,14,2,土城區,2.02112E+13,24.95319,121.41211,中央路四段285號,Tucheng Dist,YouBike2.0_Dingxin-Zutian Civic Activity Center,"No.285, Sec. 4, Zhongyang Rd.",12,1
500206039,YouBike2.0_青山廣場,7,3,土城區,2.02112E+13,24.97793,121.45987,明德路一段240巷1-1號前(東側),Tucheng Dist,YouBike2.0_Qingshan Square,"No.1-1, Ln. 240, Sec. 1, Mingde Rd.",4,1
500203071,YouBike2.0_自然公園,7,3,三重區,2.02112E+13,25.08984,121.48799,集賢路158號(旁),Sanchong Dist,YouBike2.0_Natural Park,Ruyi St./Jixian Rd.,3,1
500229027,YouBike2.0_新月橋,10,8,新莊區,2.02112E+13,25.03208,121.44982,新泰路/瓊林路(東北側),Xinzhuang Dist,YouBike2.0_Crescent Bridge,Xintai Rd. & Qionglin Rd. (Northeast),2,1
500229064,YouBike2.0_思賢國小,13,8,新莊區,2.02112E+13,25.04629,121.4577,福樂街60號(對面),Xinzhuang Dist,YouBike2.0_Sixian Elementary School,"No. 60, Fule St.(Opposite)",5,1
500229065,YouBike2.0_宏匯思源廣場,9,0,新莊區,2.02112E+13,25.05745,121.45905,富貴路/思源路(西北側),Xinzhuang Dist,YouBike2.0_Honghui Siyuan Squar,Fugui Rd. & Siyuan Rd. (Northeast),9,0
500209012,YouBike2.0_新北市立圖書館五股成功分館,6,2,五股區,2.02112E+13,25.09472,121.44685,西雲路167號(南側),Wugu Dist,YouBike2.0_New Taipei City Library Wugu-Chenggong Branch,"No.167, Xiyun Rd. (South)",4,1
500231030,YouBike2.0_森林公園,8,1,樹林區,2.02112E+13,24.94819,121.37975,學勤路382號對側,Shulin Dist,YouBike2.0_Forest Park,"No.382, Xueqin Rd., Shulin Dist.(opposite)",7,1
500231036,YouBike2.0_三多國小,11,1,樹林區,2.02112E+13,25.01638,121.40701,三福街89號北側,Shulin Dist,YouBike2.0_Sanduo Elementary School,"No.89, Sanfu St.(oppsite)",10,1
500229026,YouBike2.0_中正仁愛街口,9,2,新莊區,2.02112E+13,25.03452,121.44462,中正路/仁愛街(東北側),Xinzhuang Dist,YouBike2.0_Zhongzheng Ren'ai St. Intersection,Zhongzheng Rd. & Ren'ai St. (Northeast),7,1
500214040,YouBike2.0_伯爵山莊第二期(康寧街),15,4,汐止區,2.02112E+13,25.07299,121.6384,康寧街749號南側,Xizhi Dist,YouBike2.0_Earl's Villa Phase II (Corning Street),"No. 749, Kangning St.(South)",11,1
500229019,YouBike2.0_福壽公園,8,4,新莊區,2.02112E+13,25.05151,121.45758,福壽街130號(對面),Xinzhuang Dist,YouBike2.0_Fushou Park,"No.130, Fushou St.",4,1
500229025,YouBike2.0_捷運新莊站(2號出口),12,0,新莊區,2.02112E+13,25.03607,121.45278,新莊路214巷/中正路口(南側),Xinzhuang Dist,YouBike2.0_MRT Xinzhuang Sta. (Exit 2),"Ln. 214, Xinzhuang Rd. & Zhongzheng Rd. Intersection(South)",12,1
500229060,YouBike2.0_新泰路255巷口,6,1,新莊區,2.02112E+13,25.03936,121.4427,中環路二段220號(旁),Xinzhuang Dist,"YouBike2.0_Ln. 255, Xintai Rd.","No. 220, Zhonghuan Rd. (Side)",5,1
500229018,YouBike2.0_頭前國中,15,2,新莊區,2.02112E+13,25.05444,121.45916,中原路2號前,Xinzhuang Dist,YouBike2.0_Touqian Junior High School,"No.2 , Zhongyuan Rd. (opposite)",13,1
500231042,YouBike2.0_柑園五里聯合活動中心,12,1,樹林區,2.02112E+13,24.95096,121.38646,佳園路三段128號(前),Shulin Dist,YouBike2.0_5 Villages in Ganyuan Joint Activity Center,"No.128, Sec. 3, Jiayuan Rd.",11,1
500229020,YouBike2.0_中華中原路口,11,7,新莊區,2.02112E+13,25.05423,121.45178,中原路/中華路二段(西南側),Xinzhuang Dist,YouBike2.0_Zhonghua & Zhongyuan Intersection,"Zhongyuan Rd./Sec. 2, Zhonghua Rd",4,1
500209021,YouBike2.0_民義公園,8,5,五股區,2.02112E+13,25.08835,121.43453,五福路6巷口(五福橋旁公園),Wugu Dist,YouBike2.0_Minyi Park,"Ln. 6, Wufu Rd.",3,1
500209008,YouBike2.0_公五公園,10,4,五股區,2.02112E+13,25.08655,121.44529,芳州五路/芳州三路口(西北側),Wugu Dist,YouBike2.0_Wugu Gongwu Park,Fangzhou 5th Rd./Fangzhou 3rd. Rd.(Northwest),6,1
500229009,YouBike2.0_四維公園,12,2,新莊區,2.02112E+13,25.0213,121.42221,四維路/四維路179巷口(西側),Xinzhuang Dist,YouBike2.0_Siwei Park,"Ln.179, Siwei Rd. & Siwei Rd.(West)",10,1
500207052,YouBike2.0_中和自強公園,6,3,中和區,2.02112E+13,24.99886,121.47238,莒光路181號對側公園人行道(西側),Zhonghe Dist,YouBike2.0_Neutralize Ziqiang Park,"No.181, Juguang Rd. (opposite park West)",3,1
500234007,YouBike2.0_鶯歌國中,10,1,鶯歌區,2.02112E+13,24.95119,121.34256,鶯桃路39-5號對側,Yingge Dist,YouBike2.0_Yingge Junior High chool,"No.39-5, Yingtao Rd.(opposite)",9,1
500234008,YouBike2.0_永吉國小,10,3,鶯歌區,2.02112E+13,24.95865,121.33308,德昌二街39號對側,Yingge Dist,YouBike2.0_Yongchi elementary school,"No.39, Dechang 2nd St., Yingge Dist.",7,1
500234012,YouBike2.0_鳳福公園,7,2,鶯歌區,2.02112E+13,24.97572,121.32938,鳳吉一街186號(對面),Yingge Dist,YouBike2.0_Fengfu Park,"No. 186, Fengji 1st St., Yingge Dist.(opposite)",5,1
500231041,YouBike2.0_四維國凱街口(立天下社區),12,3,樹林區,2.02112E+13,24.97934,121.42241,四維路與國凱街口,Shulin Dist,YouBike2.0_Siwei & Guokai Intersection,Siwei Rd. & Guokai St. Intersection,9,1
500231027,YouBike2.0_山佳火車站,8,5,樹林區,2.02112E+13,24.97271,121.39317,山佳街47號(對面),Shulin Dist,YouBike2.0_Shanjia Railway Station,"No. 47, Shanjia St. (Opposite)",3,1
500231028,YouBike2.0_學成大成路口,11,6,樹林區,2.02112E+13,24.94587,121.38236,大成路與學成路口,Shulin Dist,YouBike2.0_Xuecheng & Dacheng Intersection,Xuecheng Rd./Dacheng Rd.(intersecion),5,1
500231010,YouBike2.0_柑園國小,14,5,樹林區,2.02112E+13,24.95615,121.38966,柑園街一段353號(前),Shulin Dist,YouBike2.0_Ganyuan Elementary School,"No. 353, Sec. 1, Ganyuan St.",9,1
500210028,YouBike2.0_永福橋,5,3,永和區,2.02112E+13,25.01003,121.52418,豫溪街217巷29號,Yonghe Dist,YouBike2.0_Yongfu Bridge,"No.29, Ln. 217, Yuxi St.",2,1
500229055,YouBike2.0_新泰國中,12,4,新莊區,2.02112E+13,25.04316,121.44414,新泰路/新泰路376巷口(西南側),Xinzhuang Dist,YouBike2.0_Xintai Junior High School,"Xintai Rd. & Ln. 376, Xintai Rd.",8,1
500218115,YouBike2.0_海山高中,19,5,板橋區,2.02112E+13,25.00911,121.47149,漢生東路215號,Banqiao Dist,YouBike2.0_Municipal Haishangaoji Junior High School,"No. 215, Hansheng E Rd.",14,1
500214039,YouBike2.0_康寧街141巷口,15,3,汐止區,2.02112E+13,25.06833,121.61988,康寧街141巷口(堤防邊),Xizhi Dist,"YouBike2.0_Ln. 141, Kangning St.","Ln. 141, Kangning St.",12,1
500205018,YouBike2.0_學成大義路口(學成路一),13,2,三峽區,2.02112E+13,24.94477,121.37803,大義路195號(東南側公車站旁),Sanxia Dist,YouBike2.0_Xuecheng Dayi Rd.Intersection (Xuecheng Rd. 1),"No. 195, Dayi Rd.(Southeast Bus station)",11,1
500205021,YouBike2.0_新北市客家文化園區,17,1,三峽區,2.02112E+13,24.94207,121.36034,隆恩街239號(前人行道),Sanxia Dist,YouBike2.0_Hakka Museum New Taipei City Government,"No.239, Long’en St., Sanxia Dist.",16,1
500205022,YouBike2.0_龍恩公園,15,3,三峽區,2.02112E+13,24.94135,121.37052,國際一街90號南側,Sanxia Dist,YouBike2.0_longen Park,"No. 90, Guoji 1st St. (South)",12,1
500205023,YouBike2.0_龍埔公園,5,1,三峽區,2.02112E+13,24.93841,121.3742,國光街73號(對面),Sanxia Dist,YouBike2.0_Longpu Park,"No.73, Guoguang St., Sanxia Dist",4,1
500224004,YouBike2.0_深坑雲鄉路,6,1,深坑區,2.02112E+13,24.99988,121.62101,雲鄉路1號北側,shenkeng Dist,YouBike2.0_Shenkeng Yunxiang Rd.,"No. 1, Yunxiang Rd.",5,1
500205013,YouBike2.0_三鶯國民運動中心,17,6,三峽區,2.02112E+13,24.93697,121.36858,文化路210巷15號(對面),Sanxia Dist,YouBike2.0_Sanying Civil Sports Center,"No.15, Ln. 210, Wenhua Rd., Sanxia Dist.",11,1
500205014,YouBike2.0_臺北大學(音律資訊大樓),20,3,三峽區,2.02112E+13,24.94278,121.36992,圖資大道/法政路口(東南側),Sanxia Dist,YouBike2.0_NTPU(Computer Center),Tuzi Blvd. & Fazheng Rd. Intersection(Southeast),17,1
500229040,YouBike2.0_大眾廟,8,1,新莊區,2.02112E+13,25.0374,121.458,中正路82號(旁),Xinzhuang Dist,YouBike2.0_Dazhong Temple,"No.82, Zhongzheng Rd.,Xinzhuang Dist.",7,1
500229042,YouBike2.0_昌平公園,13,8,新莊區,2.02112E+13,25.05866,121.45811,中央路/福壽街口(東南側),Xinzhuang Dist,YouBike2.0_Changping Park,"Zhongyang Rd./Fushou St., Xinzhuang Dist.",5,1
500229044,YouBike2.0_捷運丹鳳站(1號出口),7,1,新莊區,2.02112E+13,25.02903,121.4228,中正路/民安路口(東北側),Xinzhuang Dist,YouBike2.0_MRT Danfeng Sta. (Exit 1),Zhongzheng Rd./Min’an Rd,6,1
500229046,YouBike2.0_新莊勞工中心,5,0,新莊區,2.02112E+13,25.02033,121.43374,新樹路/新樹路293巷口(西北側),Xinzhuang Dist,YouBike2.0_Xinzhuang Labors Center,"Xinshu Rd. & Ln. 293, Xinshu Rd. Intersection(Northwest)",5,1
500205004,YouBike2.0_安溪國中,10,1,三峽區,2.02112E+13,24.92638,121.37185,大同路135號(西側),Sanxia Dist,YouBike2.0_Anxi Junior high School,"No. 135, Datong Rd. (West)",9,1
500205011,YouBike2.0_龍埔國小,10,2,三峽區,2.02112E+13,24.94104,121.37676,大學路47號對側,Sanxia Dist,YouBike2.0_Longpu elementary school,"No.47, Daxue Rd., Sanxia Dist.",8,1
500205015,YouBike2.0_臺北大學體育館,22,4,三峽區,2.02112E+13,24.93974,121.36688,大學路151號(台北大學體育館前),Sanxia Dist,YouBike2.0_National Taipei University(stadium),"No. 151, Daxue Rd.(National Taipei University(stadium)",18,1
500229062,YouBike2.0_瓊林南路101巷口,12,9,新莊區,2.02112E+13,25.01258,121.4343,瓊林南路133號(旁),Xinzhuang Dist,"YouBike2.0_Lane 101, Qionglin South Rd Intersection","No. 133, Qionglin S. Rd.",3,1
500209018,YouBike2.0_御史路1巷,6,3,五股區,2.02112E+13,25.0904,121.442,御史路1巷5號(旁),Wugu Dist,"YouBike2.0_Ln. 1, Yushi Rd.","No.5, Ln. 1, Yushi Rd., Wugu Dist.",3,1
500209019,YouBike2.0_成泰路4段22巷,6,2,五股區,2.02112E+13,25.1083,121.456,成泰路4段22巷29號(對面),Wugu Dist,"YouBike2.0_Ln. 22, Sec. 4, Chengtai Rd.","No. 29, Ln. 22, Sec. 4, Chengtai Rd., Wugu Dist.(opposite)",4,1
500205008,YouBike2.0_復興民生街口,8,2,三峽區,2.02112E+13,24.937,121.373,復興路45號(前),Sanxia Dist,YouBike2.0_Fuxing & Minsheng St. Intersection,"No. 45, Fuxing Rd., Sanxia Dist.",6,1
500205009,YouBike2.0_三峽國中,8,1,三峽區,2.02112E+13,24.9389,121.369,復興路238號(前人行道),Sanxia Dist,YouBike2.0_Sanxia Junior High School,"No. 238, Fuxing Rd. (front)",7,1
500229052,YouBike2.0_西盛館,9,5,新莊區,2.02112E+13,25.01191,121.43271,新樹路499號(旁),Xinzhuang Dist,YouBike2.0_Xi Sheng Guan,"No.499, Xinshu Rd.",4,1
500229053,YouBike2.0_西盛公園,8,3,新莊區,2.02112E+13,25.01711,121.42805,西盛街197號(對面),Xinzhuang Dist,YouBike2.0_Xisheng Park,"No. 197, Xisheng St.(Opposite)",5,1
500201007,YouBike2.0_十三行博物館,10,4,八里區,2.02112E+13,25.157,121.406,博物館路183號(對面),Bali Dist,YouBike2.0_Shihsanhang Museum of Archaeology,"No. 183, Museum Rd., Bali Dist.(opposite)",6,1
500209010,YouBike2.0_凌雲路一段158巷口,9,5,五股區,2.02112E+13,25.10356,121.44818,凌雲路一段158巷22號(對面),Wugu Dist,"YouBike2.0_Ln. 158, Sec. 1, Lingyun Rd.","No. 22, Ln. 158, Sec. 1, Lingyun Rd. (Opposite)",4,1
500209011,YouBike2.0_德泰公園,13,6,五股區,2.02112E+13,25.06812,121.43505,成泰路一段79號(旁),Wugu Dist,YouBike2.0_DeTai Park,"No. 79, Sec. 1, Chengtai Rd., Wugu Dist.",7,1
500209015,YouBike2.0_陸光國宅,6,4,五股區,2.02112E+13,25.08832,121.43232,民義路1段/民義路1段183巷口,Wugu Dist,YouBike2.0_Luguan Public Housing Complex,"Sec. 1, Minyi Rd./Ln. 183, Sec. 1, Minyi Rd., Wugu Dist.",2,1
500209016,YouBike2.0_成泰路一段(中油),6,2,五股區,2.02112E+13,25.07785,121.43555,成泰路一段194號(對面),Wugu Dist,"YouBike2.0_Sec. 1, Chengtai Rd. (CPC)","No.194, Sec. 1, Chengtai Rd., Wugu Dist.",4,1
500205006,YouBike2.0_三峽區公所(三峽老街),6,3,三峽區,2.02112E+13,24.9339,121.36929,民權街36號南側,Sanxia Dist,YouBike2.0_Sanxia District Office(Sanxia Old Street),"No. 36, Minquan St. (South)",3,1
500205007,YouBike2.0_中園國小,6,1,三峽區,2.02112E+13,24.92785,121.36752,弘園街22號,Sanxia Dist,YouBike2.0_Zhongyuan elementary school,"No.22, Hongyuan St., Sanxia Dist",5,1
500205020,YouBike2.0_三峽區礁溪行政中心,8,1,三峽區,2.02112E+13,24.92843,121.37592,光明路96-100號對面,Sanxia Dist,YouBike2.0_Sanxia District Jiaoxi Administration Center,"No. 96-100, Guangming Rd. (Opposite)",7,1
500209006,YouBike2.0_貿商國宅,5,1,五股區,2.02112E+13,25.06939,121.43068,登林路76-3號(前人行道),Wugu Dist,YouBike2.0_Mao Shang Public Housing,"No.76-3, Denglin Rd., Wugu Dist.",4,1
500209009,YouBike2.0_芳洲八路,6,1,五股區,2.02112E+13,25.0888,121.44631,芳洲八路152號(對面),Wugu Dist,YouBike2.0_Fangzhou 8th Road,"No. 152, Fangzhou 8th Rd., Wugu Dist.(opposite)",5,1
500209014,YouBike2.0_台北得意GO,6,4,五股區,2.02112E+13,25.07429,121.46769,四維路116號(人行道),Wugu Dist,YouBike2.0_Taipei Deyi GO,"No. 116, Siwei Rd., Wugu Dist.",2,1
500205005,YouBike2.0_三峽國光青年社會住宅,8,5,三峽區,2.02112E+13,24.93743,121.37686,三樹路5號西北側,Sanxia Dist,YouBike2.0_Sanxia Guoguang Youth Rental House,"No. 5, Sanshu Rd. (Northwest)",3,1
500205012,YouBike2.0_國立臺北大學(三峽校區),30,9,三峽區,2.02112E+13,24.94594,121.3729,大學路160號(對側),Sanxia Dist,YouBike2.0_National Taipei University(Sanxia Campus),"No.160, Daxue Rd.(Opposite)",21,1
500231037,YouBike2.0_樹林區公所,5,1,樹林區,2.02112E+13,24.98976,121.42477,博愛街198-5號對側,Shulin Dist,YouBike2.0_Shulin District Office,"No.198-5, Bo’ai St., Shulin Dist.",4,1
500209013,YouBike2.0_成州國小,6,1,五股區,2.02112E+13,25.09952,121.4509,成泰路三段493號(東側),Wugu Dist,YouBike2.0_Chengzhou Elementary School,"No.493, Sec. 3, Chengtai Rd., Wugu Dist. (East)",5,1
500206035,YouBike2.0_金城裕民路口(中正國中),15,4,土城區,2.02112E+13,24.98288,121.45619,金城路二段218號對面(西北側),Tucheng Dist,YouBike2.0_Gincheng & Yumin Intersection(Zhing Zheng Junior High School),"No.218, Sec. 2, Jincheng Rd., Tucheng Dist.",11,1
500206037,YouBike2.0_員林社區公園,13,3,土城區,2.02112E+13,24.97784,121.44328,員林街16號對面(北側),Tucheng Dist,YouBike2.0_Yuanlin Community Park,"Ln. 16, Yuanlin St. (opposite)",10,1
500205010,YouBike2.0_海洋公園,5,2,三峽區,2.02112E+13,24.94776,121.37676,大義路277號,Sanxia Dist,YouBike2.0_Ocean Park,"No. 277, Dayi Rd.",3,1
500229057,YouBike2.0_福美公園,7,3,新莊區,2.02112E+13,25.05503,121.46106,福美街/福美街62巷口(東北側),Xinzhuang Dist,YouBike2.0_Fumei Park,"Fumei St./Ln. 62, Fumei St., Xinzhuang Dist.",4,1
500229054,YouBike2.0_臺北醫院,5,3,新莊區,2.02112E+13,25.04358,121.45978,思源路133號前,Xinzhuang Dist,YouBike2.0_Taipei Hospital,"No.133, Siyuan Rd.",2,1
500234013,YouBike2.0_尖山公園,6,2,鶯歌區,2.02112E+13,24.9482,121.346,鶯歌區尖山路161號對面,Yingge Dist,YouBike2.0_Jianshan Park,"No.161, Jianshan Rd.(opposite)",4,1
500234016,YouBike2.0_國中二甲路口,6,2,鶯歌區,2.02112E+13,24.9395,121.339,國中街175號(前),Yingge Dist,YouBike2.0_Guozhong & Erjia Intersection,"No. 175, Guozhong St., Yingge Dist.",4,1
